sp	matK	rbcL	ndhF	trnL-F	ITS	Concatenated_phylogeny
2700@Byrsonima	2764@Byrsonima	2764@Byrsonima	2764@Byrsonima	FAIL	2711@Byrsonima	Byrsonima
2711@Byrsonima	3955@Byrsonima	2764@Byrsonima	2763@Byrsonima	FAIL	2700@Byrsonima	Byrsonima
2763@Byrsonima	3955@Byrsonima	710@Blepharandra	2764@Byrsonima	FAIL	2711@Byrsonima	Byrsonima
2794@Byrsonima	FAIL	FAIL	FAIL	FAIL	2711@Byrsonima	Byrsonima
2798@Blepharandra	3345@Blepharandra	3345@Blepharandra	710@Blepharandra	FAIL	2711@Byrsonima	Blepharandra
2827@Bunchosia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
2831@Bunchosia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
2906@Elatine	2909@Elatine	2909@Elatine	2909@Elatine	FAIL	2907@Elatine	Elatine
2907@Elatine	2311@Elatine	2909@Elatine	2909@Elatine	FAIL	2272@Elatine	Elatine
2909@Elatine	2906@Elatine	2906@Elatine	2906@Elatine	FAIL	FAIL	Elatine
2942@Tetrapterys	644@Carolus	3676@Tetrapterys	3676@Tetrapterys	FAIL	3676@Tetrapterys	Tetrapterys
2960@Banisteriopsis	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
2985@Heteropterys	FAIL	FAIL	FAIL	FAIL	1165@Dicella	undetermined
3013@Banisteriopsis	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
