sp	matK	rbcL	ndhF	trnL-F	ITS
654	FAIL	FAIL	FAIL	FAIL	FAIL	
2831	FAIL	FAIL	FAIL	FAIL	FAIL	
2650	FAIL	FAIL	FAIL	FAIL	FAIL	
2711	FAIL	FAIL	FAIL	FAIL	FAIL	
3386	FAIL	FAIL	FAIL	FAIL	FAIL	
654	FAIL	FAIL	FAIL	FAIL	FAIL	
3129	FAIL	FAIL	FAIL	FAIL	FAIL	
3545	FAIL	FAIL	FAIL	FAIL	FAIL	
3600	FAIL	FAIL	FAIL	FAIL	FAIL	
2711	FAIL	FAIL	FAIL	FAIL	FAIL	
3231	FAIL	FAIL	FAIL	FAIL	FAIL	
3230	FAIL	FAIL	FAIL	FAIL	FAIL	
2711	FAIL	FAIL	FAIL	FAIL	FAIL	
3680	FAIL	FAIL	FAIL	FAIL	FAIL	
3340	FAIL	FAIL	FAIL	FAIL	FAIL	
1382	FAIL	FAIL	FAIL	FAIL	FAIL	
1531	FAIL	FAIL	FAIL	FAIL	FAIL	
1661	FAIL	FAIL	FAIL	FAIL	FAIL	
C-303	FAIL	FAIL	FAIL	FAIL	FAIL	
1739	FAIL	FAIL	FAIL	FAIL	FAIL	
1162	FAIL	FAIL	FAIL	FAIL	FAIL	
2279	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
3594	FAIL	FAIL	FAIL	FAIL	FAIL	
1382	FAIL	FAIL	FAIL	FAIL	FAIL	
1770	FAIL	FAIL	FAIL	FAIL	FAIL	
3316	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
3679	FAIL	FAIL	FAIL	FAIL	FAIL	
1739	FAIL	FAIL	FAIL	FAIL	FAIL	
270	FAIL	FAIL	FAIL	FAIL	FAIL	
777	FAIL	FAIL	FAIL	FAIL	FAIL	
3230	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
270	FAIL	FAIL	FAIL	FAIL	FAIL	
3356	FAIL	FAIL	FAIL	FAIL	FAIL	
3316	FAIL	FAIL	FAIL	FAIL	FAIL	
2650	FAIL	FAIL	FAIL	FAIL	FAIL	
1525	FAIL	FAIL	FAIL	FAIL	FAIL	
3680	FAIL	FAIL	FAIL	FAIL	FAIL	
1936	FAIL	FAIL	FAIL	FAIL	FAIL	
S-17	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
1174	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
3349	FAIL	FAIL	FAIL	FAIL	FAIL	
3676	FAIL	FAIL	FAIL	FAIL	FAIL	
3122	FAIL	FAIL	FAIL	FAIL	FAIL	
2272	FAIL	FAIL	FAIL	FAIL	FAIL	
3357	FAIL	FAIL	FAIL	FAIL	FAIL	
3966	FAIL	FAIL	FAIL	FAIL	FAIL	
2272	FAIL	FAIL	FAIL	FAIL	FAIL	
1939	FAIL	FAIL	FAIL	FAIL	FAIL	
3342	FAIL	FAIL	FAIL	FAIL	FAIL	
2065	FAIL	FAIL	FAIL	FAIL	FAIL	
706	FAIL	FAIL	FAIL	FAIL	FAIL	
679	FAIL	FAIL	FAIL	FAIL	FAIL	
1102	FAIL	FAIL	FAIL	FAIL	FAIL	
1915	FAIL	FAIL	FAIL	FAIL	FAIL	
1610	FAIL	FAIL	FAIL	FAIL	FAIL	
3606	FAIL	FAIL	FAIL	FAIL	FAIL	
