sp	matK	rbcL	ndhF	trnL-F	ITS
S-45	S-50	S-48	S-47	S-49	S-43
S-46	S-50	S-49	S-50	S-47	S-50
S-47	S-50	S-50	S-45	S-49	S-50
S-48	S-50	S-45	S-50	S-49	S-43
S-49	S-50	S-44	S-50	S-48	S-50
S-50	S-48	S-47	S-48	S-47	S-46
S-51	S-58	S-58	S-58	S-55	S-57
S-52	FAIL	S-55	S-80	FAIL	S-60
S-53	S-55	S-55	S-55	FAIL	S-55
S-54	S-58	S-55	S-80	FAIL	S-56
S-55	S-53	S-53	S-53	S-51	S-53
S-56	FAIL	FAIL	FAIL	FAIL	S-54
S-57	S-58	FAIL	FAIL	FAIL	S-52
S-58	S-51	S-51	S-51	S-51	S-57
S-59	S-51	S-51	S-58	S-51	S-52
S-60	S-58	S-55	S-59	FAIL	S-52
S-61	S-62	S-66	S-67	S-89	S-63
S-62	S-61	S-66	S-65	S-89	S-70
S-63	S-88	S-83	S-87	FAIL	S-70
S-64	S-87	S-69	S-85	S-62	S-70
S-65	S-67	S-89	S-62	S-67	S-70
S-66	S-82	S-62	S-65	S-62	S-69
S-67	S-65	S-87	S-65	S-65	S-68
S-68	S-88	S-89	S-61	FAIL	S-70
S-69	S-87	S-64	S-82	FAIL	S-70
S-70	S-82	S-86	S-84	FAIL	S-69
S-71	FAIL	S-59	FAIL	FAIL	S-78
S-72	S-73	S-79	S-36	S-80	S-79
S-73	S-72	S-80	S-80	FAIL	S-79
S-74	S-80	S-80	S-80	FAIL	S-76
S-75	FAIL	S-80	S-80	FAIL	S-78
S-76	S-79	S-80	S-79	FAIL	S-74
S-77	S-80	S-100	S-80	FAIL	S-79
S-78	FAIL	S-80	S-100	FAIL	S-79
S-79	S-73	S-72	S-73	FAIL	S-78
S-80	S-73	S-74	S-36	S-25	S-73
S-81	S-82	S-87	S-82	S-89	S-84
S-82	S-62	S-87	S-65	S-89	S-84
S-83	S-87	S-87	S-87	FAIL	S-85
S-84	S-82	S-89	S-67	FAIL	S-83
S-85	S-87	S-87	S-67	S-89	S-83
